Beverage_category,Beverage,Pic_URL
Smoothies,Banana Chocolate Smoothie,https://kristenboehmer.com/wp-content/uploads/2020/07/ChocolateShake.jpg
Coffee,Brewed Coffee,https://img.freepik.com/free-vector/realistic-cup-black-brewed-coffee-saucer-vector-illustration_1284-66002.jpg
Classic Espresso Drinks,Caffè Americano,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-FpzkjW27x3Xe6GkqimcwdhA0oXO45EQTu78xx1QeZ3fqWXVCk7HMJYNPjTHfQMrW4Cw&usqp=CAU
Classic Espresso Drinks,Caffè Latte,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRW5QBTefbDjA0OssW9qZj8eKjuhXSv0yRzQUIg1EuEytj_NHaZwayJg_97FnIMtGYsK3k&usqp=CAU
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRPgzf5J-67t0htyE8-YwV2tmK13yxBrmCpe0336AcE8OZKqVPFuGkqK4MzKfBD4Ste5Ig&usqp=CAU
Classic Espresso Drinks,Cappuccino,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJPPbqIbd7vfGcv4LOSx4lj21ntBoqPrXaod2o4gfpGL6uken2DDV3qxdDEK1GfqG6Syc&usqp=CAU
Frappuccino® Light Blended Coffee,Caramel,https://www.kindpng.com/picc/m/501-5014092_sticker-stickers-coffee-starbucks-caramel-frappuccino-starbucks-frappuccino.png
Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),https://m.media-amazon.com/images/I/61I1Xf162WS._SX466_.jpg
Signature Espresso Drinks,Caramel Apple Spice (Without Whipped Cream),https://www.simplyorganic.com/sites/default/files/styles/768x768/public/acquiadam/2020-11/Mulled-Apple-Cider-with-Cinnamon-Whipped-Cream-061-1440x700.jpg?itok=VUXixtPQ
Signature Espresso Drinks,Caramel Macchiato,https://m.media-amazon.com/images/I/71B+PBHVpRL.jpg
Frappuccino® Blended Coffee,Coffee,https://rizvshakiriya.com/wp-content/uploads/2022/04/image-1.jpg
Classic Espresso Drinks,Espresso,https://media.istockphoto.com/id/136625069/photo/coffee-espresso.jpg?s=612x612&w=0&k=20&c=qsAwchQa1ExewNpHaaxUAElBSXs6f9u81QyMSjjW7Xc=
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSxpv0Bg4vP-NVDFU03NViPdFLks51uOtCkjIJduFf2-Uyl4uxZ8a5Grjh3rQc-QicGa3o&usqp=CAU
Shaken Iced Beverages,Iced Brewed Coffee (With Classic Syrup),https://i0.wp.com/elplanetaurbano.com/wp-content/uploads/2018/09/Starbucks2-1.jpg?resize=225%2C300&ssl=1
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),https://i0.wp.com/elplanetaurbano.com/wp-content/uploads/2018/09/Starbucks2-1.jpg?resize=225%2C300&ssl=1
Frappuccino® Light Blended Coffee,Java Chip,https://i.pinimg.com/originals/3a/13/6a/3a136a60aacaddeefda7ce709b9ec5e9.jpg
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),https://i.pinimg.com/originals/3a/13/6a/3a136a60aacaddeefda7ce709b9ec5e9.jpg
